Train/Step,Train/Loss/Nu,Train/Loss/Flow,Train/Norm/Critic,Train/Norm/Flow,Time/ElapsedSec,Eval/Reward,Eval/Cost,Eval/Length
0,nan,nan,nan,nan,0.0,nan,nan,nan
1000,5.96349573135376,0.3831554651260376,48.313988506793976,391.5338682718575,20.268653631210327,nan,nan,nan
2000,5.974549770355225,0.17539547383785248,48.271992206573486,397.13735070452094,39.90829348564148,nan,nan,nan
3000,5.962400913238525,0.2294788360595703,48.25218337774277,399.2033419236541,60.107648611068726,nan,nan,nan
4000,5.965056419372559,0.22576820850372314,48.23142874240875,400.83026864752173,80.57227087020874,nan,nan,nan
5000,5.962869167327881,0.1612331122159958,48.226905167102814,402.29219975322485,100.98265624046326,nan,nan,nan
6000,5.946110248565674,0.15213485062122345,48.210706532001495,403.5309408735484,121.43987107276917,nan,nan,nan
7000,5.973797798156738,0.15961921215057373,48.207425117492676,404.91947483085096,141.82895183563232,nan,nan,nan
8000,5.959475517272949,0.19414213299751282,48.20466113090515,406.11457077227533,162.01267099380493,nan,nan,nan
9000,5.965792655944824,0.1917588710784912,48.19744372367859,407.2234880682081,183.4015748500824,nan,nan,nan
10000,5.965415000915527,0.1409030705690384,48.20216941833496,408.35102010704577,204.58152651786804,nan,nan,nan
11000,5.960875511169434,0.12159886211156845,48.208821177482605,409.31084982305765,226.9212715625763,nan,nan,nan
12000,5.937377452850342,0.18397259712219238,48.20844304561615,410.2223581597209,248.99846005439758,nan,nan,nan
13000,5.943076133728027,0.207289919257164,48.208432257175446,411.0718994475901,271.31882667541504,nan,nan,nan
14000,5.974079608917236,0.16632404923439026,48.21940070390701,411.93814058974385,293.6539161205292,nan,nan,nan
15000,5.947277069091797,0.1369619071483612,48.23363482952118,412.7022854536772,315.89443826675415,nan,nan,nan
16000,5.973743915557861,0.16216300427913666,48.245071828365326,413.4509700834751,336.75331568717957,nan,nan,nan
17000,5.965480804443359,0.15259526669979095,48.25880467891693,414.2277232129127,357.40621638298035,nan,nan,nan
18000,5.960135459899902,0.14412443339824677,48.264473021030426,414.93966886773705,377.8800091743469,nan,nan,nan
19000,5.971567153930664,0.16383586823940277,48.279863595962524,415.68617990612984,398.27106952667236,nan,nan,nan
20000,5.96527099609375,0.16903722286224365,48.29694199562073,416.3679953161627,603.5943322181702,15.368519867138815,20.666666666666668,1000.0
21000,5.962954044342041,0.18909089267253876,48.311408042907715,417.0977124031633,623.9673902988434,nan,nan,nan
22000,5.946707725524902,0.14577393233776093,48.333622097969055,417.7615666426718,644.2074227333069,nan,nan,nan
23000,5.9568328857421875,0.1585472673177719,48.3561315536499,418.4080063458532,664.5282735824585,nan,nan,nan
24000,5.945699214935303,0.15443424880504608,48.37399768829346,419.1691704802215,684.9879820346832,nan,nan,nan
25000,5.9562859535217285,0.15612243115901947,48.391928255558014,419.7211940344423,706.1495742797852,nan,nan,nan
26000,5.960559368133545,0.12272164970636368,48.424028396606445,420.4164893422276,728.2460062503815,nan,nan,nan
27000,5.957840442657471,0.1494981348514557,48.4383869767189,421.086599169299,750.420844078064,nan,nan,nan
28000,5.96332311630249,0.14416740834712982,48.4723237156868,421.7348529919982,772.394942522049,nan,nan,nan
