,task,iteration,mean_reward_mean,mean_reward_std,mean_cost_mean,mean_cost_std,mean_length_mean,mean_length_std
0,OfflinePointButton1Gymnasium-v0,20000,-2.457447548733524,4.346488146862946,51.666666666666664,22.744962812309307,1000.0,0.0
1,OfflinePointButton1Gymnasium-v0,40000,0.3383160607319435,0.901255140065892,86.5,30.3273803682415,1000.0,0.0
2,OfflinePointButton1Gymnasium-v0,60000,-1.051830867680373,0.6100286797844037,131.66666666666666,62.171804970849394,1000.0,0.0
3,OfflinePointButton1Gymnasium-v0,80000,-0.2716188417129543,0.5396627973522485,63.333333333333336,14.145081595145832,1000.0,0.0
4,OfflinePointButton1Gymnasium-v0,100000,1.1955431187910535,1.8967350638554799,112.5,66.00568157363425,1000.0,0.0
5,OfflinePointButton1Gymnasium-v0,120000,-1.154323236320568,0.8057841912136704,16.166666666666668,7.815582725128904,1000.0,0.0
6,OfflinePointButton1Gymnasium-v0,140000,-1.8396524019497331,3.9246611883826756,79.16666666666667,71.63158055867072,1000.0,0.0
7,OfflinePointButton1Gymnasium-v0,160000,-1.3655956968161505,1.6193700219641536,16.833333333333332,21.83078865578001,1000.0,0.0
8,OfflinePointButton1Gymnasium-v0,180000,-1.0680381516820079,0.684355638185645,35.0,15.394804318340652,1000.0,0.0
9,OfflinePointButton1Gymnasium-v0,200000,-1.0521016585896374,1.2267537301082432,27.666666666666668,17.3877351409933,1000.0,0.0
10,OfflinePointButton1Gymnasium-v0,220000,0.23166318263811023,0.6435242482256358,39.5,68.41600689897065,1000.0,0.0
11,OfflinePointButton1Gymnasium-v0,240000,-0.053378130966331185,0.6429280636676877,49.166666666666664,40.442345794146675,1000.0,0.0
12,OfflinePointButton1Gymnasium-v0,260000,-0.6540013466196718,1.300724587252694,43.166666666666664,45.1118979132261,1000.0,0.0
13,OfflinePointButton1Gymnasium-v0,280000,-1.659251314966645,2.969607620292674,60.5,47.19904660054057,1000.0,0.0
14,OfflinePointButton1Gymnasium-v0,300000,-0.4003391503667313,1.0323709392437181,45.0,22.787057730211682,1000.0,0.0
15,OfflinePointGoal2Gymnasium-v0,20000,-0.16958230617214384,1.025494790989187,54.0,10.965856099730654,1000.0,0.0
16,OfflinePointGoal2Gymnasium-v0,40000,-0.15907435327341432,0.5337916050448623,157.16666666666666,38.1521078491521,1000.0,0.0
17,OfflinePointGoal2Gymnasium-v0,60000,0.01071882839211861,0.5584742627145527,93.0,149.12075643584967,1000.0,0.0
18,OfflinePointGoal2Gymnasium-v0,80000,-0.36114421637175464,0.3498216606015081,67.0,83.67944789492817,1000.0,0.0
19,OfflinePointGoal2Gymnasium-v0,100000,-0.013172609127369395,0.6391646345840544,31.166666666666668,39.07151562626325,1000.0,0.0
20,OfflinePointGoal2Gymnasium-v0,120000,0.07118661422281547,0.1390461914518028,92.66666666666667,86.66939098282238,1000.0,0.0
21,OfflinePointGoal2Gymnasium-v0,140000,0.09339292409044984,0.09963321431446459,73.5,53.68659050451984,1000.0,0.0
22,OfflinePointGoal2Gymnasium-v0,160000,-5.548750405257045,9.4592717940032,47.333333333333336,14.153915830374764,1000.0,0.0
23,OfflinePointGoal2Gymnasium-v0,180000,-0.10930639558053623,0.5626838645134821,30.333333333333332,6.331139971074193,1000.0,0.0
24,OfflinePointGoal2Gymnasium-v0,200000,-0.29440251087513014,0.9247733694663982,73.33333333333333,71.90502995850383,1000.0,0.0
25,OfflinePointGoal2Gymnasium-v0,220000,-0.7034691384438586,1.751955737649663,98.66666666666667,36.12593712740658,1000.0,0.0
26,OfflinePointGoal2Gymnasium-v0,240000,-0.4919612901046581,0.9327335927722733,54.333333333333336,65.10824320570578,1000.0,0.0
27,OfflinePointGoal2Gymnasium-v0,260000,0.07425591785359865,0.42716646525101415,60.333333333333336,88.96113383570002,1000.0,0.0
28,OfflinePointGoal2Gymnasium-v0,280000,-8.87711458213343,15.268920652514323,39.833333333333336,33.83907997173288,1000.0,0.0
29,OfflinePointGoal2Gymnasium-v0,300000,-0.36305608468150097,0.3045801925852318,27.833333333333332,22.728469665451154,1000.0,0.0
