task,seed,iteration,mean_reward,std_reward,mean_cost,std_cost,mean_length,std_length
OfflinePointButton1Gymnasium-v0,0,20000,-0.37350215162919986,0.2460901600839247,33.0,33.0,1000.0,0.0
OfflinePointButton1Gymnasium-v0,0,40000,0.46642518474437766,1.01980526881409,121.5,4.5,1000.0,0.0
OfflinePointButton1Gymnasium-v0,0,60000,-1.709805505948676,0.016292073730006185,191.0,37.0,1000.0,0.0
OfflinePointButton1Gymnasium-v0,0,80000,-0.21125043778966157,0.47552874651597743,51.5,33.5,1000.0,0.0
OfflinePointButton1Gymnasium-v0,0,100000,-0.08337340203958998,0.27760826116317316,46.0,2.0,1000.0,0.0
OfflinePointButton1Gymnasium-v0,0,120000,-1.8938216118604312,0.4922739370691085,24.5,11.5,1000.0,0.0
OfflinePointButton1Gymnasium-v0,0,140000,-6.368917073253881,6.751615492707419,0.0,0.0,1000.0,0.0
OfflinePointButton1Gymnasium-v0,0,160000,-3.235008942761464,0.4666609922582887,9.0,9.0,1000.0,0.0
OfflinePointButton1Gymnasium-v0,0,180000,-0.9418264133678398,0.7925802004252782,39.0,39.0,1000.0,0.0
OfflinePointButton1Gymnasium-v0,0,200000,-2.2195177868499463,0.2284153476374864,34.0,21.0,1000.0,0.0
OfflinePointButton1Gymnasium-v0,0,220000,0.9696574226248309,0.6615761752703864,0.0,0.0,1000.0,0.0
OfflinePointButton1Gymnasium-v0,0,240000,-0.45053359841786633,0.16371780282218207,95.0,95.0,1000.0,0.0
OfflinePointButton1Gymnasium-v0,0,260000,0.09393982251569544,0.5277626412647208,90.0,85.0,1000.0,0.0
OfflinePointButton1Gymnasium-v0,0,280000,-0.30205116767017876,0.2645915160947601,87.5,4.5,1000.0,0.0
OfflinePointButton1Gymnasium-v0,0,300000,0.3904379235211912,0.3581129292319969,23.0,23.0,1000.0,0.0
OfflinePointButton1Gymnasium-v0,1,20000,0.45467103861501423,0.5255304137767595,45.0,45.0,1000.0,0.0
OfflinePointButton1Gymnasium-v0,1,40000,1.1686617820182608,1.09172044631413,68.0,47.0,1000.0,0.0
OfflinePointButton1Gymnasium-v0,1,60000,-0.5050431314064137,0.3199012277512067,137.0,128.0,1000.0,0.0
OfflinePointButton1Gymnasium-v0,1,80000,-0.8389274954563732,1.0440725917406986,79.0,79.0,1000.0,0.0
OfflinePointButton1Gymnasium-v0,1,100000,3.374768667473886,3.973443466388286,113.5,90.5,1000.0,0.0
OfflinePointButton1Gymnasium-v0,1,120000,-0.2955497370483384,0.0661094657076513,9.0,9.0,1000.0,0.0
OfflinePointButton1Gymnasium-v0,1,140000,0.2935014314503942,0.7497739803388516,98.0,37.0,1000.0,0.0
OfflinePointButton1Gymnasium-v0,1,160000,-0.39442189751549117,0.1361429671729506,0.0,0.0,1000.0,0.0
OfflinePointButton1Gymnasium-v0,1,180000,-1.8067145851403117,1.1456478389200702,48.0,43.0,1000.0,0.0
OfflinePointButton1Gymnasium-v0,1,200000,-1.1632168827441882,0.25692339060905856,8.0,8.0,1000.0,0.0
OfflinePointButton1Gymnasium-v0,1,220000,-0.06218851590998409,0.2645645175838648,0.0,0.0,1000.0,0.0
OfflinePointButton1Gymnasium-v0,1,240000,0.6883912319811106,0.9424527888029622,18.5,18.5,1000.0,0.0
OfflinePointButton1Gymnasium-v0,1,260000,-2.1559446513885163,0.8005948860820402,39.5,39.5,1000.0,0.0
OfflinePointButton1Gymnasium-v0,1,280000,-5.064951540540758,3.56722172980866,6.0,6.0,1000.0,0.0
OfflinePointButton1Gymnasium-v0,1,300000,-1.568251778038547,0.6829068242179632,43.5,18.5,1000.0,0.0
OfflinePointButton1Gymnasium-v0,2,20000,-7.453511533186387,2.6473728436631427,77.0,77.0,1000.0,0.0
OfflinePointButton1Gymnasium-v0,2,40000,-0.6201387845668079,1.290335673008256,70.0,68.0,1000.0,0.0
OfflinePointButton1Gymnasium-v0,2,60000,-0.9406439656860287,0.556577603499275,67.0,24.0,1000.0,0.0
OfflinePointButton1Gymnasium-v0,2,80000,0.23532140810717184,0.5095969083472517,59.5,37.5,1000.0,0.0
OfflinePointButton1Gymnasium-v0,2,100000,0.2952340909388649,0.2228892511158438,178.0,99.0,1000.0,0.0
OfflinePointButton1Gymnasium-v0,2,120000,-1.2735983600529344,0.0570856168146292,15.0,15.0,1000.0,0.0
OfflinePointButton1Gymnasium-v0,2,140000,0.5564584359542872,0.8562734612662364,139.5,138.5,1000.0,0.0
OfflinePointButton1Gymnasium-v0,2,160000,-0.4673562501714956,0.11506078191291014,41.5,38.5,1000.0,0.0
OfflinePointButton1Gymnasium-v0,2,180000,-0.4555734565378723,0.05178203488216371,18.0,14.0,1000.0,0.0
OfflinePointButton1Gymnasium-v0,2,200000,0.22642969382522232,0.4020829191451731,41.0,41.0,1000.0,0.0
OfflinePointButton1Gymnasium-v0,2,220000,-0.21247935880051616,0.18573273431522097,118.5,38.5,1000.0,0.0
OfflinePointButton1Gymnasium-v0,2,240000,-0.39799202646223786,0.7482768084543869,34.0,34.0,1000.0,0.0
OfflinePointButton1Gymnasium-v0,2,260000,0.10000078901380538,0.1517414670672571,0.0,0.0,1000.0,0.0
OfflinePointButton1Gymnasium-v0,2,280000,0.38924876331100133,0.0034023102559961327,88.0,72.0,1000.0,0.0
OfflinePointButton1Gymnasium-v0,2,300000,-0.02320359658283805,0.4062701556692238,68.5,16.5,1000.0,0.0
