Train/Step,Train/CostLoss,Time/ElapsedSec
1000,0.0038036666810512543,22.218939304351807
2000,0.0011417196365073323,44.07130265235901
3000,0.0003616100875660777,66.06195282936096
4000,0.00016652802878525108,88.4473967552185
5000,9.658318595029414e-05,110.48373222351074
6000,5.756102837040089e-05,132.71071434020996
7000,3.102180198766291e-05,154.88573503494263
8000,1.8341774193686433e-05,176.87513160705566
9000,1.040866754919989e-05,198.92125368118286
10000,5.804702141176676e-06,221.13093972206116
11000,0.0005118660628795624,243.04139947891235
12000,0.0007962439558468759,265.71514773368835
13000,7.581015779578593e-06,287.62201976776123
14000,6.895793831063202e-06,310.2072763442993
15000,0.00012081347085768357,331.70993208885193
16000,6.35856940789381e-06,353.12833046913147
17000,3.4659201446629595e-06,374.76985335350037
18000,2.3450002117897384e-06,397.69019985198975
19000,1.4505030776490457e-06,420.14429354667664
20000,9.979162314266432e-07,443.05438804626465
21000,7.749991937089362e-07,464.95113611221313
22000,5.823520154990547e-07,486.89253783226013
23000,2.495368107702234e-07,508.7025866508484
24000,1.401527214284215e-07,530.4354434013367
25000,7.317909478388174e-08,553.9107754230499
26000,6.275878661199386e-08,575.8118603229523
27000,3.936191106390652e-08,597.5771129131317
28000,6.385187589330599e-06,619.4777121543884
29000,2.362503664699034e-06,641.5165343284607
30000,1.1656154583761236e-06,663.3714339733124
31000,4.7363496946672967e-07,685.7852613925934
32000,3.7081773029967735e-07,708.0094635486603
33000,4.852478241446079e-07,730.1675615310669
34000,6.141352315580662e-08,752.6414432525635
35000,6.128304619323899e-08,774.9061305522919
36000,3.993122987822062e-08,796.8518350124359
37000,2.9086816510925928e-08,818.7999784946442
38000,3.015298588593396e-08,840.7759745121002
39000,1.9826599029215686e-08,863.0705745220184
40000,1.447470410198548e-08,885.2895724773407
41000,1.3000744480962112e-08,907.7112798690796
42000,9.00458996255793e-09,930.156004190445
43000,1.1796980281530978e-08,952.4130103588104
44000,1.0565221586489315e-08,974.2369632720947
45000,6.043724187776434e-09,996.7122926712036
46000,6.9927841295225335e-09,1019.24511551857
47000,5.7264646358135e-09,1041.6588666439056
48000,3.249906512792222e-05,1063.4910175800323
49000,1.2665176427617553e-06,1085.3968451023102
50000,4.242598947712395e-07,1107.1822533607483
