Train/Step,Train/CostLoss,Time/ElapsedSec
1000,1.2357187271118164,26.331368923187256
2000,1.1911529302597046,51.739065170288086
3000,1.1654795408248901,77.18141674995422
4000,1.1415448188781738,101.6681318283081
5000,1.134346604347229,125.76622033119202
6000,1.1303553581237793,149.92678570747375
7000,1.120951533317566,174.2510678768158
8000,1.1075950860977173,198.54235315322876
9000,1.114358901977539,222.7065155506134
10000,1.1049256324768066,246.7207224369049
11000,1.0923014879226685,271.90492606163025
12000,1.0945460796356201,297.4749584197998
13000,1.0986608266830444,321.61915588378906
14000,1.0780378580093384,345.5610730648041
15000,1.081156849861145,369.6712260246277
16000,1.0789799690246582,393.837539434433
17000,1.078874111175537,417.79800176620483
18000,1.078109860420227,441.78444027900696
19000,1.0812160968780518,465.82692313194275
20000,1.078781247138977,490.7364354133606
21000,1.060199499130249,516.0040049552917
22000,1.0697193145751953,540.4508154392242
23000,1.0657122135162354,564.6682980060577
24000,1.0682704448699951,588.7699861526489
25000,1.0588860511779785,612.8982381820679
26000,1.052128791809082,636.9031178951263
27000,1.0520790815353394,661.1555562019348
28000,1.064197301864624,685.3679406642914
29000,1.0514261722564697,710.37104845047
30000,1.049683690071106,735.7865698337555
31000,1.0481404066085815,760.275354385376
32000,1.0511600971221924,784.5927357673645
33000,1.0506993532180786,808.6559665203094
34000,1.0443024635314941,832.600426197052
35000,1.0507681369781494,856.5772242546082
36000,1.0533802509307861,880.5425808429718
37000,1.0479825735092163,904.7499587535858
38000,1.053316593170166,929.683828830719
39000,1.0412366390228271,955.0980167388916
40000,1.0421724319458008,979.6330795288086
41000,1.0429641008377075,1003.7360277175903
42000,1.034976840019226,1027.7416319847107
43000,1.0373324155807495,1052.108440876007
44000,1.0392323732376099,1076.4897882938385
45000,1.0336021184921265,1100.9466474056244
46000,1.0394312143325806,1125.2083888053894
47000,1.0405349731445312,1150.2164685726166
48000,1.0461262464523315,1175.9891414642334
49000,1.0301140546798706,1200.8665413856506
50000,1.0240954160690308,1224.925113916397
