Train/Step,Train/Loss/Nu,Train/Loss/Flow,Train/Norm/Critic,Train/Norm/Flow,Time/ElapsedSec,Eval/Reward,Eval/Cost,Eval/Length
1000,0.0,0.1694537252187729,48.26208645105362,366.41738237277605,220.355073928833,19.70388737980101,27.333333333333332,1000.0
2000,0.0,0.17611289024353027,48.35098975896835,371.213732146658,439.9397201538086,15.410369642430249,35.666666666666664,1000.0
3000,0.0,0.1636887639760971,48.474906384944916,374.86349929170683,660.1121544837952,11.810553768075115,33.0,1000.0
4000,0.0,0.1555551290512085,48.61207365989685,378.03960145264864,880.2431952953339,15.6145937540303,10.666666666666666,1000.0
5000,0.0,0.16019891202449799,48.77634972333908,381.0005286121741,1100.6345655918121,7.2330420266031075,20.333333333333332,1000.0
6000,0.0,0.16074149310588837,48.916893780231476,384.0966225876473,1324.8704009056091,10.891658548809227,10.0,1000.0
7000,0.0,0.1478324830532074,49.045616149902344,387.30282655358315,1545.0600702762604,13.536764942791235,37.666666666666664,1000.0
8000,0.0,0.1670171022415161,49.1865354180336,390.4723394482862,1767.592585325241,7.671529847542424,0.0,1000.0
9000,0.0,0.15191073715686798,49.32097274065018,394.2669869341189,1987.9884934425354,11.891213360866757,26.666666666666668,1000.0
10000,0.0,0.14878438413143158,49.480047821998596,398.0994900217047,2212.812349319458,5.722800358770342,22.0,1000.0
